id,couse_code,couse_name,couse_year,couse_detail,created_at,updated_at,user_id
102,,โครงงานฐานวิจัย ป.6,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:35:00.064668,2019-09-06 06:35:00.064668,303
103,,โครงงานฐานวิจัย ป.4,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:35:00.327407,2019-09-06 06:35:00.327407,308
104,,โครงงานฐานวิจัย ป.2,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:35:00.441707,2019-09-06 06:35:00.441707,293
105,,โครงงานฐานวิจัย ป.3,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:35:00.516579,2019-09-06 06:35:00.516579,289
106,,โครงงานฐานวิจัย ป1,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:35:00.812678,2019-09-06 06:35:00.812678,313
107,,โครงงานฐานวิจัย ป.5,2562,วิชานี้เป็นกลุ่มสาระพื้นฐาน,2019-09-06 06:35:00.883111,2019-09-06 06:35:00.883111,295
108,,โครงงานฐานวิจัย ป.4,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:35:01.343508,2019-09-06 06:35:01.343508,312
109,,โครงงานฐานวิจัย ป.3,2562,เป็นวิชาบูรณาการ พื้นฐาน,2019-09-06 06:35:05.448644,2019-09-06 06:35:05.448644,304
110,,โครงงานฐานวิจัยป.1,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:35:06.014755,2019-09-06 06:35:06.014755,294
111,,โครงงานฐานวิจัยป.1,2562,วิชาบูรณาการ,2019-09-06 06:35:11.188749,2019-09-06 06:35:11.188749,307
112,,โครงงานฐานวิจัย ป.1,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:35:11.273856,2019-09-06 06:35:11.273856,309
97,,ภาษาไทย,2562,วิชาภาษาไทย กลุ่มสาระภาษาไทย,2019-09-06 06:32:05.808504,2019-09-06 06:37:08.74356,292
