id,status,created_at,updated_at,room_id,user_id,course_id,average_score,grade,is_point_attr,studenno
97,pending,2018-06-08 04:15:07.828411,2018-06-08 04:15:07.828411,8,115,9,0,,f,
98,pending,2018-06-08 04:17:32.076182,2018-06-08 04:17:32.076182,8,114,9,0,,f,
99,approved,2018-06-09 08:26:00.827553,2018-06-09 08:28:37.625992,13,118,13,0,,f,
100,pending,2018-06-09 11:34:35.58758,2018-06-09 11:34:35.58758,8,119,9,0,,f,
101,approved,2018-06-13 03:06:04.909505,2018-06-13 03:06:39.261472,19,11,19,0,,f,
102,pending,2018-06-13 06:28:24.40118,2018-06-13 06:28:24.40118,8,124,9,0,,f,
123,approved,2018-06-18 06:49:45.118097,2018-06-18 06:50:40.887264,20,146,20,0,,f,
104,approved,2018-06-18 06:40:41.118598,2018-06-18 06:42:17.187214,20,129,20,0,,f,
105,approved,2018-06-18 06:40:42.089397,2018-06-18 06:42:24.034249,20,130,20,0,,f,
106,approved,2018-06-18 06:40:50.208225,2018-06-18 06:42:29.138404,20,126,20,0,,f,
107,approved,2018-06-18 06:41:05.31629,2018-06-18 06:42:32.792247,20,133,20,0,,f,
